label	U	n_elec	chi_prior	observable	true	Delta	prior_fid	G_emp
U=4 doped(7/8)	4.0	14	4	ZZ up-up r=4	-0.00650963957451184	-0.028542075003007414	0.36886569760529936	0.8738310509987353
U=4 doped(7/8)	4.0	14	8	ZZ up-up r=4	-0.00650963957451184	0.009100280566541214	0.7967755802751084	1.056884218886945
U=4 doped(7/8)	4.0	14	16	ZZ up-up r=4	-0.00650963957451184	0.004563604261033574	0.976134712915076	1.0441950406412706
U=4 doped(7/8)	4.0	14	32	ZZ up-up r=4	-0.00650963957451184	-0.0019837486382661435	0.9983906755061474	1.0201412543929922
U=4 doped(7/8)	4.0	14	2	ZZ up-up r=8	-0.044246716274764654	-0.044246715027020905	0.004399565999019726	1.0000000015641952
U=4 doped(7/8)	4.0	14	4	ZZ up-up r=8	-0.044246716274764654	-0.055912323152262224	0.36886569760529936	0.9777078816021693
U=4 doped(7/8)	4.0	14	8	ZZ up-up r=8	-0.044246716274764654	-0.03225590009959858	0.7967755802751084	1.0064346727757827
U=4 doped(7/8)	4.0	14	16	ZZ up-up r=8	-0.044246716274764654	-0.003695204980557261	0.976134712915076	0.9542330372891646
U=4 doped(7/8)	4.0	14	32	ZZ up-up r=8	-0.044246716274764654	-0.00024056693844329985	0.9983906755061474	0.9423456219848841
U=4 doped(7/8)	4.0	14	2	DoubleOcc(i0)	0.07820945701643961	0.07820945701643955	0.004399565999019726	0.9771673399291799
U=4 doped(7/8)	4.0	14	4	DoubleOcc(i0)	0.07820945701643961	0.004552583165857826	0.36886569760529936	21.081931431335683
U=4 doped(7/8)	4.0	14	8	DoubleOcc(i0)	0.07820945701643961	0.004020194005121186	0.7967755802751084	18.70021404301657
U=4 doped(7/8)	4.0	14	16	DoubleOcc(i0)	0.07820945701643961	0.0010011845459094448	0.976134712915076	20.439136637763937
U=4 doped(7/8)	4.0	14	32	DoubleOcc(i0)	0.07820945701643961	-2.7246261065552724e-5	0.9983906755061474	20.5064006012895
U=4 doped(7/8)	4.0	14	2	SzSz r=1	-0.10243289415794857	0.14756710584154278	0.004399565999019726	0.4595008581919427
U=4 doped(7/8)	4.0	14	4	SzSz r=1	-0.10243289415794857	0.046579806354538705	0.36886569760529936	3.3333255980408754
U=4 doped(7/8)	4.0	14	8	SzSz r=1	-0.10243289415794857	-0.002632706292702125	0.7967755802751084	18.325147320196717
U=4 doped(7/8)	4.0	14	16	SzSz r=1	-0.10243289415794857	-0.0013424013409994162	0.976134712915076	18.494316096597846
U=4 doped(7/8)	4.0	14	32	SzSz r=1	-0.10243289415794857	-0.00015733414717526706	0.9983906755061474	18.314429019398624
U=4 doped(7/8)	4.0	14	2	hop bond(i0)	0.5569146313848805	0.5569146313848805	0.004399565999019726	1.0
U=4 doped(7/8)	4.0	14	4	hop bond(i0)	0.5569146313848805	-0.1292636970500345	0.36886569760529936	13.320805226888469
U=4 doped(7/8)	4.0	14	8	hop bond(i0)	0.5569146313848805	0.027723428965999997	0.7967755802751084	43.36161783545715
U=4 doped(7/8)	4.0	14	16	hop bond(i0)	0.5569146313848805	0.016448381621639308	0.976134712915076	46.33081709422603
U=4 doped(7/8)	4.0	14	32	hop bond(i0)	0.5569146313848805	0.0004659095502568267	0.9983906755061474	47.9127625410099
