L	bc	chi_prior	observable	true	Delta	prior_fid	G	G_max	S_center
16	PBC	32	Sz	1.0792632853390272e-8	3.240510301066868e-9	0.9496704945464095	0.9999999872331914	0.9999999805901159	2.048350611685932
16	PBC	2	DoubleOcc	0.10000926846254571	0.10000926846254571	0.05164636879617505	2.0637858907341506	28.4918839495476	2.048350611685932
16	PBC	4	DoubleOcc	0.10000926846254571	0.04974801734386644	0.2488039644548788	6.694343781644754	28.4918839495476	2.048350611685932
16	PBC	8	DoubleOcc	0.10000926846254571	0.00842175218534319	0.6240994117892313	25.489386874716633	28.4918839495476	2.048350611685932
16	PBC	16	DoubleOcc	0.10000926846254571	0.005584458809532289	0.7732859099054301	26.92032019880569	28.4918839495476	2.048350611685932
16	PBC	32	DoubleOcc	0.10000926846254571	0.00022941605240206497	0.9496704945464095	28.467166650937607	28.4918839495476	2.048350611685932
16	PBC	2	ZZ onsite	-0.5999629699591278	0.40003703004086966	0.05164636879617505	2.1401531602407764	52.94759714146994	2.048350611685932
16	PBC	4	ZZ onsite	-0.5999629699591278	0.1989919306678849	0.2488039644548788	7.595384818122198	52.94759714146994	2.048350611685932
16	PBC	8	ZZ onsite	-0.5999629699591278	0.03368692689989661	0.6240994117892313	44.18940270422636	52.94759714146994	2.048350611685932
16	PBC	16	ZZ onsite	-0.5999629699591278	0.022338145733460157	0.7732859099054301	48.37908317319205	52.94759714146994	2.048350611685932
16	PBC	32	ZZ onsite	-0.5999629699591278	0.0009176782928399518	0.9496704945464095	52.894130895314106	52.94759714146994	2.048350611685932
16	PBC	2	ZZ up-up r=1	-0.5185408264183521	-0.08173042067246328	0.05164636879617505	18.66523962370991	36.184170767978316	2.048350611685932
16	PBC	4	ZZ up-up r=1	-0.5185408264183521	-0.11004560190568374	0.2488039644548788	13.573192599708651	36.184170767978316	2.048350611685932
16	PBC	8	ZZ up-up r=1	-0.5185408264183521	0.0003045153585569116	0.6240994117892313	36.194064883109	36.184170767978316	2.048350611685932
16	PBC	16	ZZ up-up r=1	-0.5185408264183521	-0.024468770376890603	0.7732859099054301	32.889043207471204	36.184170767978316	2.048350611685932
16	PBC	32	ZZ up-up r=1	-0.5185408264183521	-0.008197840038058346	0.9496704945464095	35.60194478367286	36.184170767978316	2.048350611685932
16	PBC	2	SzSz r=1	-0.10792304415452725	0.001279557281944954	0.05164636879617505	17.39145230636403	23.416689900692347	2.048350611685932
16	PBC	4	SzSz r=1	-0.10792304415452725	-0.004118180136811755	0.2488039644548788	13.637081742249492	23.416689900692347	2.048350611685932
16	PBC	8	SzSz r=1	-0.10792304415452725	0.00010432014789896193	0.6240994117892313	23.449223216132584	23.416689900692347	2.048350611685932
16	PBC	16	SzSz r=1	-0.10792304415452725	-0.004364840684640742	0.7732859099054301	22.048011257376146	23.416689900692347	2.048350611685932
16	PBC	32	SzSz r=1	-0.10792304415452725	-0.0019992845804437664	0.9496704945464095	22.72174980487714	23.416689900692347	2.048350611685932
16	PBC	2	hop up r=1	0.4879597579677724	0.4879597579677724	0.05164636879617505	1.0	30.929494787472624	2.048350611685932
16	PBC	4	hop up r=1	0.4879597579677724	0.4879597579677724	0.2488039644548788	1.0	30.929494787472624	2.048350611685932
16	PBC	8	hop up r=1	0.4879597579677724	0.04838344060806371	0.6240994117892313	24.104279588497008	30.929494787472624	2.048350611685932
16	PBC	16	hop up r=1	0.4879597579677724	0.026297173313946542	0.7732859099054301	28.62282018261815	30.929494787472624	2.048350611685932
16	PBC	32	hop up r=1	0.4879597579677724	0.010854846750442293	0.9496704945464095	30.559498131126464	30.929494787472624	2.048350611685932
32	OBC	2	n	0.9999999999899619	-1.0037859432543428e-11	0.006921728930695332	1.0000000200908894	1.0000000000350269	1.0815476118420217
32	OBC	4	n	0.9999999999899619	1.496136547984861e-12	0.1445742459156264	0.9999999989537623	1.0000000000350269	1.0815476118420217
32	OBC	8	n	0.9999999999899619	-4.707764178490947e-10	0.8418402990752022	1.0000000004984808	1.0000000000350269	1.0815476118420217
