U	nhole	site	x	y	observable	prior	true	Delta	relerr	G	dens	Sz
8.0	4	1	1	1	ZZ up-up nb	chi8	-0.35748733067607497	0.1122883216783207	0.31410433893129197	7.315873757545073	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	ZZ up-up nb	chi32	-0.35748733067607497	0.024560333453061467	0.06870266816620693	15.483150618340721	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	ZZ up-up nb	exact	-0.35748733067607497	0.0	0.0	15.723528336726948	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	ZZ up-up nb	UHF	-0.35748733067607497	0.5340432683840731	1.493880265278487	0.505260688725265	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	SzSz nb	chi8	-0.08793222320044405	0.016838963997569817	0.19149935466984508	9.390481303917921	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	SzSz nb	chi32	-0.08793222320044405	0.004249116274853165	0.048322629864221464	13.164280071925573	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	SzSz nb	exact	-0.08793222320044405	0.0	0.0	13.315627358591316	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	SzSz nb	UHF	-0.08793222320044405	0.12866210507604106	1.4631963163577937	0.5042984840979292	0.9346128227927356	-0.018398622579522045
8.0	4	2	1	2	n	chi8	0.9352432685060081	-0.025468367240393586	0.027231810265876268	1.210192796044771	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	n	chi32	0.9352432685060081	-0.01006589872870678	0.010762866804469402	1.3877594384113292	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	n	exact	0.9352432685060081	0.0	0.0	1.383122867414756	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	n	UHF	0.9352432685060081	-0.0646990169512014	0.06917881061528941	0.017391651495783186	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	Sz	chi8	-0.009963997805130671	-0.020525574512297064	2.0599738090797266	1.1098396657693532	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	Sz	chi32	-0.009963997805130671	-0.005022555616333801	0.5040703254418204	1.3088985684174401	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	Sz	exact	-0.009963997805130671	0.0	0.0	1.3579794407531671	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	Sz	UHF	-0.009963997805130671	0.44862733001866417	45.02483228043834	0.030079785299124754	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	DoubleOcc	chi8	0.038883688182496046	0.01031384590457296	0.26524865275552384	34.86902210288494	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	DoubleOcc	chi32	0.038883688182496046	0.0035415437022585927	0.0910804470408458	60.06039482432571	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	DoubleOcc	exact	0.038883688182496046	0.0	0.0	68.9342176931335	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	DoubleOcc	UHF	0.038883688182496046	-0.0007814494236595415	0.020097101385853626	1.284322781482082	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	ZZ onsite	chi8	-0.7149517842820317	0.09219211809908023	0.12894872091502133	39.552755482800336	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	ZZ onsite	chi32	-0.7149517842820317	0.03429797226644893	0.04797242698106084	89.45324934188221	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	ZZ onsite	exact	-0.7149517842820317	0.0	0.0	111.75501357307422	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	ZZ onsite	UHF	-0.7149517842820317	0.12627223620776507	0.17661643621824102	25.216738681828627	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	ZZ up-up nb	chi8	-0.35497623412901885	0.12150832963177205	0.34229990052688686	5.259566098072681	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	ZZ up-up nb	chi32	-0.35497623412901885	0.0332146327244206	0.09356860975754362	12.666958263627746	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	ZZ up-up nb	exact	-0.35497623412901885	0.0	0.0	14.731307100004193	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	ZZ up-up nb	UHF	-0.35497623412901885	0.5365543649311293	1.5115219368069426	0.43380941088975106	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	SzSz nb	chi8	-0.08770128489860815	0.02294426085845558	0.26161829766783395	6.2128534618683835	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	SzSz nb	chi32	-0.08770128489860815	0.006713651011234306	0.0765513415110849	10.768350055513592	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	SzSz nb	exact	-0.08770128489860815	0.0	0.0	11.787781085095633	0.9352432685060081	-0.009963997805130671
8.0	4	2	1	2	SzSz nb	UHF	-0.08770128489860815	0.12889304337787696	1.4696824969769917	0.4662338161059082	0.9352432685060081	-0.009963997805130671
8.0	4	3	1	3	n	chi8	0.933960140114005	-0.025139820625127096	0.026917444915859443	1.3195175842956055	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	n	chi32	0.933960140114005	-0.009028491215950174	0.009666891367385444	1.466808970537939	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	n	exact	0.933960140114005	0.0	0.0	1.4745140587456589	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	n	UHF	0.933960140114005	-0.06598214534322477	0.07064771022794461	0.017789292917828905	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	Sz	chi8	-0.01982450926666593	-0.015136897122806622	0.7635446062848411	1.1721404943904457	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	Sz	chi32	-0.01982450926666593	-0.004696844510503093	0.23692109839009423	1.2594780623937176	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	Sz	exact	-0.01982450926666593	0.0	0.0	1.267165492170376	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	Sz	UHF	-0.01982450926666593	-0.47841583709047064	24.132543744470212	0.02254460437111652	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	DoubleOcc	chi8	0.0386002684701294	0.010133939846325962	0.26253547573556524	30.750409192819014	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	DoubleOcc	chi32	0.0386002684701294	0.006264897982405898	0.16230192769912868	44.574064268031265	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	DoubleOcc	exact	0.0386002684701294	0.0	0.0	53.976275934953804	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	DoubleOcc	UHF	0.0386002684701294	-0.0010648691360271856	0.027587091443450156	1.1234304699611466	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	ZZ onsite	chi8	-0.713519206347492	0.09081540063555893	0.12727814448113228	35.20051678691571	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	ZZ onsite	chi32	-0.713519206347492	0.043116574361524385	0.06042805011828388	64.59008797094612	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	ZZ onsite	exact	-0.713519206347492	0.0	0.0	87.32648770647049	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	ZZ onsite	UHF	-0.713519206347492	0.12770481414234103	0.17897880394287147	22.469389241128017	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	ZZ up-up nb	chi8	-0.35469415021530776	0.0565305199742594	0.15937821342681865	8.849421427174516	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	ZZ up-up nb	chi32	-0.35469415021530776	0.032953461201648826	0.0929066949134777	10.650412776167354	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	ZZ up-up nb	exact	-0.35469415021530776	0.0	0.0	12.278167176076145	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	ZZ up-up nb	UHF	-0.35469415021530776	0.5368364488448403	1.5135193194445633	0.42464150516023763	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	SzSz nb	chi8	-0.08811164313437383	0.006686335937394122	0.07588481725618473	12.363482706341646	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	SzSz nb	chi32	-0.08811164313437383	0.005977825952412086	0.0678437688796208	13.195239359664079	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	SzSz nb	exact	-0.08811164313437383	0.0	0.0	13.902736194156267	0.933960140114005	-0.01982450926666593
8.0	4	3	1	3	SzSz nb	UHF	-0.08811164313437383	0.12848268514212016	1.4581805601579674	0.5030992402172338	0.933960140114005	-0.01982450926666593
8.0	4	4	1	4	n	chi8	0.933764695688586	-0.038809684414065404	0.04156259558029872	1.1137309329556275	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	n	chi32	0.933764695688586	-0.012942662070461908	0.01386073186341405	1.362132031332282	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	n	exact	0.933764695688586	0.0	0.0	1.3590514161062723	0.933764695688586	-0.011934980242051653
