geometry	U	site	x	y	observable	prior	true	Delta	relerr	G	G_max	prior_fid	S_center
torus	8.0	9	3	1	Sz	UHFsym	-0.3337676554211026	-0.33376765542110254	0.9999999999999999	1.0000000000000009	57.55999001754116	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	DoubleOcc	chi4	0.05001324849917599	0.033854516604508916	0.6769109710013478	16.724595761812314	66.05251076787705	0.3829123702363809	1.5690815497844373
torus	8.0	9	3	1	DoubleOcc	chi8	0.05001324849917599	0.01065524728740852	0.2130484942921489	34.16667236815333	66.05251076787705	0.5879253494917182	1.5690815497844373
torus	8.0	9	3	1	DoubleOcc	chi32	0.05001324849917599	0.007335466613427544	0.14667046899679795	49.4242833125914	66.05251076787705	0.8676193558453152	1.5690815497844373
torus	8.0	9	3	1	DoubleOcc	exact	0.05001324849917599	0.0	0.0	66.05251076787705	66.05251076787705	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	DoubleOcc	UHF	0.05001324849917599	0.0001970494540610157	0.003939945114028382	16.989311216825772	66.05251076787705	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	DoubleOcc	UHFsym	0.05001324849917599	0.00019704945406118224	0.003939945114031711	3.8536096372893827	66.05251076787705	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	ZZ onsite	chi4	-0.7996827179932586	0.1411688260766123	0.17653104525112714	25.36056727694352	111.99120754609267	0.3829123702363809	1.5690815497844373
torus	8.0	9	3	1	ZZ onsite	chi8	-0.7996827179932586	0.04949524383350945	0.061893601949675615	79.33543070198394	111.99120754609267	0.5879253494917182	1.5690815497844373
torus	8.0	9	3	1	ZZ onsite	chi32	-0.7996827179932586	0.029546298916531266	0.036947527127603054	97.9281712286194	111.99120754609267	0.8676193558453152	1.5690815497844373
torus	8.0	9	3	1	ZZ onsite	exact	-0.7996827179932586	0.0	0.0	111.99120754609267	111.99120754609267	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	ZZ onsite	UHF	-0.7996827179932586	0.0010524858262828118	0.0013161292630206427	112.0001506454472	111.99120754609267	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	ZZ onsite	UHFsym	-0.7996827179932586	0.001052485826283256	0.001316129263021198	112.00015064544722	111.99120754609267	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	ZZ up-up nb	chi4	-0.603050009091567	0.17922750323461756	0.29720172544994305	7.841493881611798	31.1354891778068	0.3829123702363809	1.5690815497844373
torus	8.0	9	3	1	ZZ up-up nb	chi8	-0.603050009091567	0.09840004850072293	0.16317062767141402	15.931338393405746	31.1354891778068	0.5879253494917182	1.5690815497844373
torus	8.0	9	3	1	ZZ up-up nb	chi32	-0.603050009091567	0.040745904302112335	0.06756637706297668	26.04727124657719	31.1354891778068	0.8676193558453152	1.5690815497844373
torus	8.0	9	3	1	ZZ up-up nb	exact	-0.603050009091567	0.0	0.0	31.1354891778068	31.1354891778068	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	ZZ up-up nb	UHF	-0.603050009091567	0.2439511834877678	0.40452894421684066	4.875177820710079	31.1354891778068	1.0000000000000027	1.5690815497844373
