L	bc	seed	rho	site	prior	observable	true	Delta	G	G_lo	G_hi	G_max
12	OBC	0	ED	3	UHFsym	ZZ onsite	-0.6101616299374908	-0.015550437671353001	57.199022748007465	52.31258344610921	62.84961637037987	60.25632623015893
12	OBC	0	ED	3	chi2	ZZ up-up r=1	-0.6846724541724951	0.31532754582750444	4.320317270929072	4.16626363789112	4.495376361023534	68.66994857852161
12	OBC	0	ED	3	chi4	ZZ up-up r=1	-0.6846724541724951	0.1455809179381543	16.09364032124342	15.230150531609741	17.14054913308916	68.66994857852161
12	OBC	0	ED	3	chi8	ZZ up-up r=1	-0.6846724541724951	-0.008111533806729354	68.66461709981185	63.616346465906226	74.87151492495848	68.66994857852161
12	OBC	0	ED	3	chi16	ZZ up-up r=1	-0.6846724541724951	-0.0034230455471296883	68.8290479101968	63.78377950950385	75.19397016057913	68.66994857852161
12	OBC	0	ED	3	chi32	ZZ up-up r=1	-0.6846724541724951	2.234849504001435e-5	68.66813995683819	63.61038954140397	74.883143875634	68.66994857852161
12	OBC	0	ED	3	exact	ZZ up-up r=1	-0.6846724541724951	2.3900359469308796e-10	68.66994857852161	63.61068974673053	74.88410466585222	68.66994857852161
12	OBC	0	ED	3	UHF	ZZ up-up r=1	-0.6846724541724951	0.10121936237931561	26.25487998908847	24.630654822992803	28.233456421959307	68.66994857852161
12	OBC	0	ED	3	UHFsym	ZZ up-up r=1	-0.6846724541724951	-0.2940826284350092	5.168104652261681	5.082826562997539	5.2480180423585585	68.66994857852161
12	OBC	0	ED	3	chi2	SzSz r=1	-0.14397207495648934	0.10602792504351055	1.7015771292008288	1.635315668955776	1.7637570182861997	46.65793706945687
12	OBC	0	ED	3	chi4	SzSz r=1	-0.14397207495648934	0.038099225463001735	9.982085735424684	9.40429928277031	10.536174218104062	46.65793706945687
12	OBC	0	ED	3	chi8	SzSz r=1	-0.14397207495648934	-0.0019212628622972128	46.61445688787998	42.41064545495212	50.43401821038312	46.65793706945687
12	OBC	0	ED	3	chi16	SzSz r=1	-0.14397207495648934	-0.0005991490176870118	46.8019043464167	42.58757983309961	50.67506157799408	46.65793706945687
12	OBC	0	ED	3	chi32	SzSz r=1	-0.14397207495648934	2.9246263612281442e-6	46.65717448753899	42.38879759688842	50.53024542244961	46.65793706945687
12	OBC	0	ED	3	exact	SzSz r=1	-0.14397207495648934	4.261530017757309e-11	46.65793706945687	42.38912063737644	50.530539948334926	46.65793706945687
12	OBC	0	ED	3	UHF	SzSz r=1	-0.14397207495648934	0.02837447874995841	15.533468572828278	14.491143691666768	16.559203190074566	46.65793706945687
12	OBC	0	ED	3	UHFsym	SzSz r=1	-0.14397207495648934	-0.07045101895362282	4.040999202737567	3.9792559074559946	4.104481362113522	46.65793706945687
12	OBC	0	ED	3	chi2	hop up r=1	0.5796366661854013	0.5796366661854013	1.0	1.0	1.0	40.60123512271453
12	OBC	0	ED	3	chi4	hop up r=1	0.5796366661854013	-0.07028127792764494	25.161082263397553	22.974911031347187	27.584214159970927	40.60123512271453
12	OBC	0	ED	3	chi8	hop up r=1	0.5796366661854013	0.005291610632868982	40.55224455605844	36.86315367758785	44.53051234891863	40.60123512271453
12	OBC	0	ED	3	chi16	hop up r=1	0.5796366661854013	0.00112027003649795	40.61334842706419	36.84428581281789	44.67013326510539	40.60123512271453
12	OBC	0	ED	3	chi32	hop up r=1	0.5796366661854013	-1.0969977566999134e-5	40.601056808653055	36.77156953803398	44.70885486208748	40.60123512271453
12	OBC	0	ED	3	exact	hop up r=1	0.5796366661854013	-6.352007808629878e-11	40.60123512271453	36.77195006991783	44.70854992692067	40.60123512271453
12	OBC	0	ED	3	UHF	hop up r=1	0.5796366661854013	0.14030626267110097	12.386353920024312	11.953645033667046	12.790288159016413	40.60123512271453
12	OBC	0	ED	3	UHFsym	hop up r=1	0.5796366661854013	0.1403062626710989	12.386353920024568	11.95364503366727	12.790288159016676	40.60123512271453
12	OBC	1	ED	3	chi2	n	0.9999999999999245	-7.505107646466058e-14	0.9999999998762884	0.9999999997510969	1.000000000007039	1.0000000000047278
12	OBC	1	ED	3	chi4	n	0.9999999999999245	4.908736750408593e-10	0.9999999990133704	0.9999999986327054	0.9999999993960846	1.0000000000047278
12	OBC	1	ED	3	chi8	n	0.9999999999999245	-2.2098034513362563e-10	1.0000000005200873	1.0000000003417988	1.0000000006897958	1.0000000000047278
12	OBC	1	ED	3	chi16	n	0.9999999999999245	-4.015854315753131e-11	1.0000000001062428	1.0000000000685305	1.0000000001424298	1.0000000000047278
12	OBC	1	ED	3	chi32	n	0.9999999999999245	9.145906254559577e-12	0.9999999999857029	0.9999999999767922	0.9999999999945792	1.0000000000047278
12	OBC	1	ED	3	exact	n	0.9999999999999245	-7.964739978660873e-13	1.0000000000047278	1.00000000000153	1.000000000007966	1.0000000000047278
12	OBC	1	ED	3	UHF	n	0.9999999999999245	-7.327471962526033e-14	0.02312165687412417	0.021295747905261612	0.025165250139919125	1.0000000000047278
12	OBC	1	ED	3	UHFsym	n	0.9999999999999245	-7.327471962526033e-14	0.9999999999999979	0.999999999999996	1.0000000000000002	1.0000000000047278
12	OBC	1	ED	3	chi2	Sz	6.44737735422396e-12	-7.359062664961437e-11	0.9999999999859456	0.9999999998765907	1.0000000000935414	1.0000000000000404
12	OBC	1	ED	3	chi4	Sz	6.44737735422396e-12	3.664286929438987e-11	1.0000000002250242	0.9999999999157669	1.0000000004972025	1.0000000000000404
12	OBC	1	ED	3	chi8	Sz	6.44737735422396e-12	4.212297871619697e-11	0.9999999999073994	0.9999999997885821	1.0000000000361957	1.0000000000000404
12	OBC	1	ED	3	chi16	Sz	6.44737735422396e-12	2.0600389449842993e-11	0.999999999984546	0.9999999999597856	1.0000000000108318	1.0000000000000404
12	OBC	1	ED	3	chi32	Sz	6.44737735422396e-12	9.751234542054732e-12	1.0000000000047067	0.9999999999962835	1.0000000000121532	1.0000000000000404
12	OBC	1	ED	3	exact	Sz	6.44737735422396e-12	8.52020537456255e-12	1.0000000000000404	0.9999999999971957	1.0000000000028004	1.0000000000000404
12	OBC	1	ED	3	UHF	Sz	6.44737735422396e-12	0.3855551816167254	0.031212117928263207	0.028568256855319406	0.03364474295778897	1.0000000000000404
12	OBC	1	ED	3	UHFsym	Sz	6.44737735422396e-12	6.447380823670912e-12	1.0000000000000007	0.9999999999999992	1.0000000000000024	1.0000000000000404
12	OBC	1	ED	3	chi2	DoubleOcc	0.0974595925155905	0.09745959251559053	2.3367058336136077	2.248562806372625	2.443645318451051	26.053505241852424
12	OBC	1	ED	3	chi4	DoubleOcc	0.0974595925155905	0.013340310562092783	21.993631294318856	20.297987948059465	23.883609663551344	26.053505241852424
12	OBC	1	ED	3	chi8	DoubleOcc	0.0974595925155905	-0.0005183666626563943	26.039459925501138	23.99016530477806	28.155407857972072	26.053505241852424
12	OBC	1	ED	3	chi16	DoubleOcc	0.0974595925155905	9.214091746004294e-5	26.054429857623976	24.010774268510513	28.192965067184993	26.053505241852424
12	OBC	1	ED	3	chi32	DoubleOcc	0.0974595925155905	2.2918483653378008e-6	26.053533998237587	24.00968731355612	28.188355539595108	26.053505241852424
12	OBC	1	ED	3	exact	DoubleOcc	0.0974595925155905	1.9843321430457195e-11	26.053505241852424	24.009654596206154	28.188231102051898	26.053505241852424
12	OBC	1	ED	3	UHF	DoubleOcc	0.0974595925155905	-0.003887609417873944	1.3023572419736344	1.2010396770232183	1.4118919912937067	26.053505241852424
12	OBC	1	ED	3	UHFsym	DoubleOcc	0.0974595925155905	-0.0038876094178739995	25.59015069914849	23.613690286160057	27.595663222525566	26.053505241852424
12	OBC	1	ED	3	chi2	ZZ onsite	-0.6101616299374908	0.38983837006250877	2.4876379914025386	2.4142113576065047	2.5697578357798045	53.40873189280902
12	OBC	1	ED	3	chi4	ZZ onsite	-0.6101616299374908	0.05336124126662056	40.555692171467825	37.55259033597679	44.22613248729329	53.40873189280902
