L	rho	site	prior	observable	true	Delta	G	G_max
14	DMRG	1	chi16	Sz	4.672949527328996e-12	-8.846970170339752e-10	0.9999999984650132	0.9999999999931931
14	DMRG	1	chi32	Sz	4.672949527328996e-12	7.527439088717003e-11	1.0000000001033835	0.9999999999931931
14	DMRG	1	exact	Sz	4.672949527328996e-12	0.0	0.9999999999931931	0.9999999999931931
14	DMRG	1	UHF	Sz	4.672949527328996e-12	0.43779601839085414	0.02157588457634625	0.9999999999931931
14	DMRG	1	UHFsym	Sz	4.672949527328996e-12	4.672933914817712e-12	0.9999999999999991	0.9999999999931931
14	DMRG	1	chi2	DoubleOcc	0.07125451091500681	0.07125451091500681	6.1001777216644415	51.459537072987075
14	DMRG	1	chi4	DoubleOcc	0.07125451091500681	-8.902689457185309e-5	51.432127810501	51.459537072987075
14	DMRG	1	chi8	DoubleOcc	0.07125451091500681	1.2577954977194272e-5	51.463309914715644	51.459537072987075
14	DMRG	1	chi16	DoubleOcc	0.07125451091500681	-1.4284698851285693e-6	51.45910692936671	51.459537072987075
14	DMRG	1	chi32	DoubleOcc	0.07125451091500681	1.3342247048853118e-7	51.45957722821609	51.459537072987075
14	DMRG	1	exact	DoubleOcc	0.07125451091500681	0.0	51.459537072987075	51.459537072987075
14	DMRG	1	UHF	DoubleOcc	0.07125451091500681	0.012919864629801048	1.5321670299241148	51.459537072987075
14	DMRG	1	UHFsym	DoubleOcc	0.07125451091500681	0.012919864629800937	43.51371675263087	51.459537072987075
14	DMRG	1	chi2	ZZ onsite	-0.7149819563453464	0.2850180436546532	6.10307934504693	106.06508918075592
14	DMRG	1	chi4	ZZ onsite	-0.7149819563453464	-0.0003561082716718733	106.03230718825782	106.06508918075592
14	DMRG	1	chi8	ZZ onsite	-0.7149819563453464	5.0310782095275286e-5	106.06927887869803	106.06508918075592
14	DMRG	1	chi16	ZZ onsite	-0.7149819563453464	-5.713723608580246e-6	106.06460644339919	106.06508918075592
14	DMRG	1	chi32	ZZ onsite	-0.7149819563453464	5.336052637527899e-7	106.06513419159735	106.06508918075592
14	DMRG	1	exact	ZZ onsite	-0.7149819563453464	0.0	106.06508918075592	106.06508918075592
14	DMRG	1	UHF	ZZ onsite	-0.7149819563453464	0.051679458513827714	70.48277597312624	106.06508918075592
14	DMRG	1	UHFsym	ZZ onsite	-0.7149819563453464	0.05167945851382727	70.48277597312662	106.06508918075592
14	DMRG	1	chi2	ZZ up-up r=1	-0.8272710941942042	0.17272890580579547	20.26793947960651	222.58891182475418
14	DMRG	1	chi4	ZZ up-up r=1	-0.8272710941942042	0.09720469187981418	52.659343161743315	222.58891182475418
14	DMRG	1	chi8	ZZ up-up r=1	-0.8272710941942042	0.007594596253125863	216.00042079695768	222.58891182475418
14	DMRG	1	chi16	ZZ up-up r=1	-0.8272710941942042	0.0006409627816729158	222.33925011129008	222.58891182475418
14	DMRG	1	chi32	ZZ up-up r=1	-0.8272710941942042	2.8226850275814286e-5	222.5791589320014	222.58891182475418
14	DMRG	1	exact	ZZ up-up r=1	-0.8272710941942042	0.0	222.58891182475418	222.58891182475418
14	DMRG	1	UHF	ZZ up-up r=1	-0.8272710941942042	0.05859306514235507	100.791386489559	222.58891182475418
14	DMRG	1	UHFsym	ZZ up-up r=1	-0.8272710941942042	-0.3864882477100301	4.5383217708849255	222.58891182475418
14	DMRG	1	chi2	SzSz r=1	-0.17539199511010262	0.0746080048898973	5.054643094375905	99.02344713755019
14	DMRG	1	chi4	SzSz r=1	-0.17539199511010262	0.029495709158359	25.92390215425293	99.02344713755019
14	DMRG	1	chi8	SzSz r=1	-0.17539199511010262	0.0016347456787059178	98.3305070283273	99.02344713755019
14	DMRG	1	chi16	SzSz r=1	-0.17539199511010262	0.00013823654255504247	99.02717463790822	99.02344713755019
14	DMRG	1	chi32	SzSz r=1	-0.17539199511010262	6.2742645859370505e-6	99.02389011349891	99.02344713755019
14	DMRG	1	exact	SzSz r=1	-0.17539199511010262	0.0	99.02344713755019	99.02344713755019
14	DMRG	1	UHF	SzSz r=1	-0.17539199511010262	0.018783585107377654	46.76717795334532	99.02344713755019
14	DMRG	1	UHFsym	SzSz r=1	-0.17539199511010262	-0.09248674310571849	3.5256536322458847	99.02344713755019
14	DMRG	1	chi2	hop up r=1	0.6371669936062716	0.6371669936062716	1.0	69.80435539739564
14	DMRG	1	chi4	hop up r=1	0.6371669936062716	-0.04676080869887833	48.86182296409498	69.80435539739564
14	DMRG	1	chi8	hop up r=1	0.6371669936062716	-0.003465148959268749	69.38366292552814	69.80435539739564
14	DMRG	1	chi16	hop up r=1	0.6371669936062716	-0.0003465832575855199	69.77495859889808	69.80435539739564
14	DMRG	1	chi32	hop up r=1	0.6371669936062716	-1.2112637630679046e-5	69.80337603922531	69.80435539739564
14	DMRG	1	exact	hop up r=1	0.6371669936062716	0.0	69.80435539739564	69.80435539739564
14	DMRG	1	UHF	hop up r=1	0.6371669936062716	0.16991580106282234	12.142110344410694	69.80435539739564
14	DMRG	1	UHFsym	hop up r=1	0.6371669936062716	0.169915801062822	12.142110344410737	69.80435539739564
14	ED	2	chi2	n	0.9999999999998602	-1.397770788003072e-13	1.0000000014088264	0.9999999999974214
14	ED	2	chi4	n	0.9999999999998602	-7.828437564860735e-9	0.9999999964044279	0.9999999999974214
