L	site	observable	prior	true	prior_val	Delta	relerr	G	G_max
8	5	SxSx r=1	chi32	-0.1478593746839726	-0.14786093511382348	1.5604298508886671e-6	1.0553472542568598e-5	56.52392485996287	56.52368164862551
8	5	SxSx r=1	exact	-0.1478593746839726	-0.1478593746839726	0.0	0.0	56.52368164862551	56.52368164862551
8	5	SxSx r=1	UHF	-0.1478593746839726	-0.024127457633734115	-0.12373191705023848	0.8368215902082438	1.4632625221933153	56.52368164862551
8	5	SxSx r=1	UHFsym	-0.1478593746839726	-0.07354902574211512	-0.07431034894185747	0.5025744840371791	3.865026662797782	56.52368164862551
8	6	ZZ onsite	chi2	-0.6085992919670059	-0.9999999999999983	0.39140070803299243	0.6431172582668918	2.336025623970873	65.15279926854527
8	6	ZZ onsite	chi4	-0.6085992919670059	-0.63924019569374	0.030640903726734114	0.05034659772229123	55.192174467198235	65.15279926854527
8	6	ZZ onsite	chi8	-0.6085992919670059	-0.6043222886981575	-0.0042770032688483894	0.0070276178847087116	65.09995522019258	65.15279926854527
8	6	ZZ onsite	chi32	-0.6085992919670059	-0.6086011788939455	1.8869269395871413e-6	3.100442219524366e-6	65.15273101038564	65.15279926854527
8	6	ZZ onsite	exact	-0.6085992919670059	-0.6085992919670059	0.0	0.0	65.15279926854527	65.15279926854527
8	6	ZZ onsite	UHF	-0.6085992919670059	-0.5946093787324496	-0.01398991323455634	0.022987067877355955	63.48231235646754	65.15279926854527
8	6	ZZ onsite	UHFsym	-0.6085992919670059	-0.5946093787324552	-0.013989913234550677	0.02298706787734665	63.48231235646897	65.15279926854527
8	6	SzSz r=1	chi2	-0.06340708049726229	-0.07153750496424699	0.008130424466984698	0.12822581331962987	8.256786655765803	8.799957917318144
8	6	SzSz r=1	chi4	-0.06340708049726229	0.0	-0.06340708049726229	1.0	1.0104172620501128	8.799957917318144
8	6	SzSz r=1	chi8	-0.06340708049726229	-0.06315681788400784	-0.0002502626132544483	0.003946919039510955	8.785681028500292	8.799957917318144
8	6	SzSz r=1	chi32	-0.06340708049726229	-0.06340750522683994	4.247295776471649e-7	6.698456612672828e-6	8.799971204384796	8.799957917318144
8	6	SzSz r=1	exact	-0.06340708049726229	-0.06340708049726229	0.0	0.0	8.799957917318144	8.799957917318144
8	6	SzSz r=1	UHF	-0.06340708049726229	-0.1706063622376281	0.1071992817403658	1.6906515944223977	0.4066035105246859	8.799957917318144
8	6	SzSz r=1	UHFsym	-0.06340708049726229	-0.0726041231582316	0.00919704266096931	0.1450475654902043	7.178626152056272	8.799957917318144
