L	doping	site	prior	observable	true	Delta	prior_fid	G	G_max
16	0.0	4	chi4	n	0.9999999999961621	-3.135043891155931e-9	0.4016684908724763	0.9999999802703623	0.999999999917131
16	0.0	4	chi8	n	0.9999999999961621	5.525797597272231e-10	0.9531835469652283	1.0000000003319842	0.999999999917131
16	0.0	4	chi16	n	0.9999999999961621	3.7205150071883963e-10	0.9951061220758266	0.9999999995457829	0.999999999917131
16	0.0	4	chi32	n	0.9999999999961621	-2.3219204337010524e-12	0.9998374729774914	0.9999999999034084	0.999999999917131
16	0.0	4	exact	n	0.9999999999961621	0.0	NaN	0.999999999917131	0.999999999917131
16	0.0	4	UHF	n	0.9999999999961621	-3.835154416265141e-12	NaN	0.019475047016336067	0.999999999917131
16	0.0	4	UHFsym	n	0.9999999999961621	-3.835043393962678e-12	NaN	0.9999999999999997	0.999999999917131
16	0.0	4	chi2	Sz	3.560809633262885e-11	-4.908129332473199e-8	0.09698363280829767	1.000000019362799	1.000000000014081
16	0.0	4	chi4	Sz	3.560809633262885e-11	-9.434490150922459e-9	0.4016684908724763	1.0000000036981087	1.000000000014081
16	0.0	4	chi8	Sz	3.560809633262885e-11	3.185598937416323e-10	0.9531835469652283	0.9999999998947189	1.000000000014081
16	0.0	4	chi16	Sz	3.560809633262885e-11	-7.249270975173694e-11	0.9951061220758266	1.0000000000468503	1.000000000014081
16	0.0	4	chi32	Sz	3.560809633262885e-11	-6.622105641618248e-12	0.9998374729774914	1.0000000000166656	1.000000000014081
16	0.0	4	exact	Sz	3.560809633262885e-11	0.0	NaN	1.000000000014081	1.000000000014081
16	0.0	4	UHF	Sz	3.560809633262885e-11	-0.3844329948799838	NaN	0.028074975460326272	1.000000000014081
16	0.0	4	UHFsym	Sz	3.560809633262885e-11	3.560808939373494e-11	NaN	0.9999999999999999	1.000000000014081
16	0.0	4	chi2	DoubleOcc	0.10073818251303357	0.10073818251303357	0.09698363280829767	2.0855227792046414	30.566166798500372
16	0.0	4	chi4	DoubleOcc	0.10073818251303357	0.0302379765411942	0.4016684908724763	13.560209022626102	30.566166798500372
16	0.0	4	chi8	DoubleOcc	0.10073818251303357	-0.00041710853130080827	0.9531835469652283	30.573344560775837	30.566166798500372
16	0.0	4	chi16	DoubleOcc	0.10073818251303357	0.0001580231313569047	0.9951061220758266	30.55974202277795	30.566166798500372
16	0.0	4	chi32	DoubleOcc	0.10073818251303357	-2.1818354845881682e-6	0.9998374729774914	30.566241265798624	30.566166798500372
16	0.0	4	exact	DoubleOcc	0.10073818251303357	0.0	NaN	30.566166798500372	30.566166798500372
16	0.0	4	UHF	DoubleOcc	0.10073818251303357	-0.0014730899071935533	NaN	1.255781234151464	30.566166798500372
16	0.0	4	UHFsym	DoubleOcc	0.10073818251303357	-0.0014730899071935533	NaN	30.52810197821951	30.566166798500372
16	0.0	4	chi2	ZZ onsite	-0.5970472699401885	0.402952730059811	0.09698363280829767	2.1382283281406678	54.49039073595317
16	0.0	4	chi4	ZZ onsite	-0.5970472699401885	0.12095191243486547	0.4016684908724763	16.91789994107647	54.49039073595317
16	0.0	4	chi8	ZZ onsite	-0.5970472699401885	-0.0016684352303610872	0.9531835469652283	54.483600624404815	54.49039073595317
