L	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
32	32	ZZ up-up r=4	true	0.08039491893381487	0.000750945438121875	0.99859243857329	2.028941348449565	1.578177226718448
32	2	ZZ up-up r=8	true	0.04519866222661564	0.027405659980386604	0.006920564103506389	1.1505085003171016	1.107851014051529
32	4	ZZ up-up r=8	true	0.04519866222661564	0.04184575700108865	0.14458180994952619	1.0285768681456235	1.0224880402954295
32	8	ZZ up-up r=8	true	0.04519866222661564	0.01341476921922928	0.8478824193377283	1.257739966878022	1.1633179110913767
32	16	ZZ up-up r=8	true	0.04519866222661564	0.0036830995991972842	0.981259629854608	1.318454782612395	1.1805381407514624
32	32	ZZ up-up r=8	true	0.04519866222661564	0.00011915523486662194	0.99859243857329	1.3366843400968407	1.181963050060006
32	2	DoubleOcc(i0)	false	0.10027556533943463	0.10027556533943463	0.006920564103506389	2.3748914392718645	NaN
32	4	DoubleOcc(i0)	false	0.10027556533943463	0.04167840827268715	0.14458180994952619	10.996862378763666	NaN
32	8	DoubleOcc(i0)	false	0.10027556533943463	-9.648701938000381e-5	0.8478824193377283	33.63830545836118	NaN
32	16	DoubleOcc(i0)	false	0.10027556533943463	0.0005233282820627794	0.981259629854608	33.81035900278769	NaN
32	32	DoubleOcc(i0)	false	0.10027556533943463	2.5201284295783832e-5	0.99859243857329	33.67475780789828	NaN
32	2	SzSz r=1	false	-0.08987773305255291	0.001233834597132999	0.006920564103506389	12.189459089845382	NaN
32	4	SzSz r=1	false	-0.08987773305255291	-0.013443765867983251	0.14458180994952619	8.50537840263556	NaN
32	8	SzSz r=1	false	-0.08987773305255291	-0.00222170691737536	0.8478824193377283	14.818628588351823	NaN
32	16	SzSz r=1	false	-0.08987773305255291	-0.000590403200314088	0.981259629854608	14.978358125259115	NaN
32	32	SzSz r=1	false	-0.08987773305255291	-8.892445279826133e-5	0.99859243857329	15.038834444835702	NaN
32	2	hop bond(i0)	false	0.4440575279802667	0.4440575279802667	0.006920564103506389	1.0	NaN
32	4	hop bond(i0)	false	0.4440575279802667	0.4440575279802667	0.14458180994952619	1.0	NaN
32	8	hop bond(i0)	false	0.4440575279802667	0.01091701207088086	0.8478824193377283	17.44331916591388	NaN
32	16	hop bond(i0)	false	0.4440575279802667	0.00340648101119434	0.981259629854608	17.766625934262237	NaN
32	32	hop bond(i0)	false	0.4440575279802667	0.00035464890190178844	0.99859243857329	17.853812864626338	NaN
