config	t_L	t_S	U	nu	nm	observable	true	prior	Delta	sd_std	sd_crm_old	sd_crm_new	G_emp	G_theo	HF_fid	gap
weak	1.0	0.5	8.0	50	100	ZZ(1u,1d) |A|=2	-0.861950053024601	-0.8831172421577491	0.02116718913314808	0.2992934422920005	0.03258235617122159	0.024759087095446396	146.12520971025364	223.32340730746466	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	100	ZZZZ(1,3) |A|=4	0.7721281316747518	0.8150260789841239	-0.04289794730937213	0.9499848182336242	0.1066332106242713	0.09171964529591248	107.27748826996405	101.24496216477526	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	100	DoubleOcc site1	0.0345124867438496	0.029220689460562818	0.005291797283286784	0.07434629888933755	0.0646552877257887	0.06410034372360231	1.3452344791154496	NaN	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	100	Sz1*Sz3	0.061258473837397326	0.22594534036896763	-0.1646868665315703	0.015893606808222348	0.04183949795282831	0.04202012746761698	0.14306394567040964	NaN	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	100	Fidelity	0.3517509954468536	1.0	-0.6482490045531464	0.13824904214336217	0.3193558819186546	0.318543920766169	0.1883586718569593	NaN	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	1000	Z(1u)  |A|=1	-2.9934821982324777e-16	-0.9397431788301256	0.9397431788301253	0.007482385119423945	0.18325463758755664	0.18326731879916167	0.0016669019818223248	0.0016956486133383702	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	1000	ZZ(1u,1d) |A|=2	-0.861950053024601	-0.8831172421577491	0.02116718913314808	0.3385015723453012	0.012658268356649129	0.010997691404856035	947.3671516501739	1008.172299471344	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	1000	ZZZZ(1,3) |A|=4	0.7721281316747518	0.8150260789841239	-0.04289794730937213	0.9373240846589663	0.06289918754106949	0.05672204130718603	273.0711688229049	265.2575615409134	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	1000	DoubleOcc site1	0.0345124867438496	0.029220689460562818	0.005291797283286784	0.0846052476453034	0.06445625673214044	0.06436281204545634	1.727923778881732	NaN	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	1000	Sz1*Sz3	0.061258473837397326	0.22594534036896763	-0.1646868665315703	0.01608059028157922	0.04315685211399564	0.04318325926383598	0.1386670057680631	NaN	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	1000	Fidelity	0.3517509954468536	1.0	-0.6482490045531464	0.22746773112924779	0.4758074078921788	0.473616633925622	0.23066712241581233	NaN	0.3517509954468536	0.28716776325015303
