U	doping	observable	chi_prior	true	absDelta	discarded_w	sens_s	alpha
2.0	0.0	SzSz r=1	16	-0.06864846553886442	0.0022834959771925734	0.00838173897561878	0.15898276537145528	0.78406622589939
2.0	0.0	SzSz r=1	32	-0.06864846553886442	0.001087254319718567	0.0013268683939176018	0.15898276537145528	0.78406622589939
2.0	0.0	SzSz r=1	64	-0.06864846553886442	0.00018075371561862563	0.00010988114050136666	0.15898276537145528	0.78406622589939
2.0	0.0	SzSz r=1	128	-0.06864846553886442	1.603534924282668e-5	9.788297769763865e-6	0.15898276537145528	0.78406622589939
2.0	0.0	hop up r=1	2	0.5684143171954432	0.5684143171954432	0.33792775044639434	0.9517021811767576	0.8852476197048211
2.0	0.0	hop up r=1	4	0.5684143171954432	0.24110977124779032	0.2132802895838659	0.9517021811767576	0.8852476197048211
2.0	0.0	hop up r=1	8	0.5684143171954432	0.02529082722858178	0.0243838125041006	0.9517021811767576	0.8852476197048211
2.0	0.0	hop up r=1	16	0.5684143171954432	0.008717481855293197	0.00838173897561878	0.9517021811767576	0.8852476197048211
2.0	0.0	hop up r=1	32	0.5684143171954432	0.003113971067679855	0.0013268683939176018	0.9517021811767576	0.8852476197048211
2.0	0.0	hop up r=1	64	0.5684143171954432	0.0003612803813345389	0.00010988114050136666	0.9517021811767576	0.8852476197048211
2.0	0.0	hop up r=1	128	0.5684143171954432	3.58547404020193e-5	9.788297769763865e-6	0.9517021811767576	0.8852476197048211
2.0	0.125	n	2	0.8730938710734485	0.12690612892655861	0.43134178255888633	0.21401478139747868	1.122812595533263
2.0	0.125	n	4	0.8730938710734485	0.02219299781155426	0.25326888216165944	0.21401478139747868	1.122812595533263
2.0	0.125	n	8	0.8730938710734485	0.012370444912417455	0.06866612263390082	0.21401478139747868	1.122812595533263
2.0	0.125	n	16	0.8730938710734485	0.004427409866331056	0.01706350720691896	0.21401478139747868	1.122812595533263
2.0	0.125	n	32	0.8730938710734485	0.0003508088412541577	0.0041461650876735145	0.21401478139747868	1.122812595533263
2.0	0.125	n	64	0.8730938710734485	2.058024942641623e-5	0.0004937286283576148	0.21401478139747868	1.122812595533263
2.0	0.125	n	128	0.8730938710734485	3.780733983438367e-6	4.0635411095668594e-5	0.21401478139747868	1.122812595533263
2.0	0.125	Sz	2	-2.2387748042917988e-7	3.19319459201467e-5	0.43134178255888633	0.006654935348014064	0.9395343962397128
2.0	0.125	Sz	4	-2.2387748042917988e-7	0.023876630658412334	0.25326888216165944	0.006654935348014064	0.9395343962397128
2.0	0.125	Sz	8	-2.2387748042917988e-7	0.002546249673252024	0.06866612263390082	0.006654935348014064	0.9395343962397128
2.0	0.125	Sz	16	-2.2387748042917988e-7	0.0013610799855834632	0.01706350720691896	0.006654935348014064	0.9395343962397128
2.0	0.125	Sz	32	-2.2387748042917988e-7	6.456323257941765e-5	0.0041461650876735145	0.006654935348014064	0.9395343962397128
2.0	0.125	Sz	64	-2.2387748042917988e-7	2.348369619875612e-7	0.0004937286283576148	0.006654935348014064	0.9395343962397128
2.0	0.125	Sz	128	-2.2387748042917988e-7	1.0749701087747754e-6	4.0635411095668594e-5	0.006654935348014064	0.9395343962397128
2.0	0.125	DoubleOcc	2	0.12871275666329554	0.1287127566632925	0.43134178255888633	0.12296695509206323	1.1469419993076602
2.0	0.125	DoubleOcc	4	0.12871275666329554	0.01071860403650278	0.25326888216165944	0.12296695509206323	1.1469419993076602
2.0	0.125	DoubleOcc	8	0.12871275666329554	0.002183190943734342	0.06866612263390082	0.12296695509206323	1.1469419993076602
2.0	0.125	DoubleOcc	16	0.12871275666329554	0.002898037271687165	0.01706350720691896	0.12296695509206323	1.1469419993076602
2.0	0.125	DoubleOcc	32	0.12871275666329554	0.00012949706198958633	0.0041461650876735145	0.12296695509206323	1.1469419993076602
2.0	0.125	DoubleOcc	64	0.12871275666329554	5.119293685570958e-5	0.0004937286283576148	0.12296695509206323	1.1469419993076602
2.0	0.125	DoubleOcc	128	0.12871275666329554	6.920921793440726e-7	4.0635411095668594e-5	0.12296695509206323	1.1469419993076602
2.0	0.125	ZZ onsite	2	-0.23133671549370974	0.7686632845062881	0.43134178255888633	0.10931172987830029	0.9355343285365031
2.0	0.125	ZZ onsite	4	-0.23133671549370974	0.001511579477102537	0.25326888216165944	0.10931172987830029	0.9355343285365031
2.0	0.125	ZZ onsite	8	-0.23133671549370974	0.016008126049899346	0.06866612263390082	0.10931172987830029	0.9355343285365031
2.0	0.125	ZZ onsite	16	-0.23133671549370974	0.0027373293540895183	0.01706350720691896	0.10931172987830029	0.9355343285365031
2.0	0.125	ZZ onsite	32	-0.23133671549370974	0.0001836294345544387	0.0041461650876735145	0.10931172987830029	0.9355343285365031
2.0	0.125	ZZ onsite	64	-0.23133671549370974	0.00016361124856226206	0.0004937286283576148	0.10931172987830029	0.9355343285365031
2.0	0.125	ZZ onsite	128	-0.23133671549370974	1.0329836679839888e-5	4.0635411095668594e-5	0.10931172987830029	0.9355343285365031
2.0	0.125	ZZ up-up r=1	2	-0.37266071557376373	0.37266071316726535	0.43134178255888633	0.7252379620244479	0.7850296298941329
