B	n_u	n_m	observable	pure	absA	prior	true	Delta	sd_std	sd_crm	G_emp	G_max	sd_std_theory	sd_crm_theory	nm_star
5000	20	250	hop up r=1	false	0	exact	0.4440883514173588	0.0	0.3564002050580407	0.04856013822565135	53.866165602030776	53.866165602030776	NaN	NaN	NaN
5000	10	500	n	false	0	chi2	0.9999999999890202	-1.0976997089073848e-11	0.01569520716077201	0.015695207436412322	0.9999999648758626	0.9999999966761354	NaN	NaN	NaN
5000	10	500	n	false	0	chi4	0.9999999999890202	-5.295314187137024e-10	0.01569520716077201	0.015695207649805306	0.9999999376837441	0.9999999966761354	NaN	NaN	NaN
5000	10	500	n	false	0	chi8	0.9999999999890202	7.150757763696447e-11	0.01569520716077201	0.015695207238307172	0.9999999901198933	0.9999999966761354	NaN	NaN	NaN
5000	10	500	n	false	0	chi32	0.9999999999890202	-3.9698211384830984e-10	0.01569520716077201	0.015695207194265284	0.9999999957320379	0.9999999966761354	NaN	NaN	NaN
5000	10	500	n	false	0	exact	0.9999999999890202	0.0	0.01569520716077201	0.01569520718685638	0.9999999966761354	0.9999999966761354	NaN	NaN	NaN
5000	10	500	Sz	false	0	chi2	1.498873095084896e-9	-1.4229547179445134e-8	0.009187597598069917	0.009187597395493768	1.0000000440977423	1.0000000042069146	NaN	NaN	NaN
5000	10	500	Sz	false	0	chi4	1.498873095084896e-9	-2.5912613312029098e-8	0.009187597598069917	0.009187597245998276	1.0000000766406358	1.0000000042069146	NaN	NaN	NaN
5000	10	500	Sz	false	0	chi8	1.498873095084896e-9	-3.0038820458822e-9	0.009187597598069917	0.009187597539920551	1.0000000126582311	1.0000000042069146	NaN	NaN	NaN
5000	10	500	Sz	false	0	chi32	1.498873095084896e-9	-4.5203188414610906e-11	0.009187597598069917	0.009187597578909294	1.0000000041709758	1.0000000042069146	NaN	NaN	NaN
5000	10	500	Sz	false	0	exact	1.498873095084896e-9	0.0	0.009187597598069917	0.009187597578744199	1.0000000042069146	1.0000000042069146	NaN	NaN	NaN
